PropertyId,RealProperty,Capacity,Square,PropertyType,NumBedrooms,ReadyDate
43630,Yes,7,141,Apartment,3,2024-09-25
43622,Yes,4,70,Apartment,2,2024-08-12
43620,Yes,2,55,Apartment,1,2024-08-04
43606,Yes,4,60,Apartment,2,2024-06-27
43590,Yes,7,105,Apartment,4,2024-09-19
43589,Yes,4,66,Apartment,3,2024-07-27
43588,Yes,4,66,Apartment,3,2024-07-09
43583,Yes,7,141,Apartment,3,2024-05-18
43578,Yes,10,92,Apartment,4,2024-05-25
43574,Yes,2,51,Apartment,1,2024-06-26
43573,Yes,4,53,Apartment,2,2024-06-16
43552,Yes,2,28,Apartment,1,2024-03-26
43518,Yes,4,40,Apartment,1,2024-05-24
43517,Yes,4,64,Apartment,1,2024-05-24
43516,Yes,4,70,Apartment,2,2024-03-20
43532,Yes,2,70,Apartment,1,2024-03-26
43531,Yes,7,70,Apartment,3,2024-03-20
43530,Yes,4,70,Apartment,2,2024-03-20
43529,Yes,4,70,Apartment,2,2024-03-20
43537,Yes,4,70,Apartment,2,2024-03-25
43527,Yes,7,70,Apartment,3,2024-03-25
43525,Yes,4,70,Apartment,2,2024-04-05
43526,Yes,4,70,Apartment,2,2024-03-25
43524,Yes,2,70,Apartment,1,2024-03-26
43522,Yes,4,70,Apartment,2,2024-03-20
43521,Yes,4,70,Apartment,2,2024-03-20
43520,Yes,2,70,Apartment,1,2024-04-03
43519,Yes,7,70,Apartment,3,2024-05-31
43515,Yes,4,70,Apartment,2,2024-03-20
43533,Yes,3,70,Apartment,1,2024-05-21
43534,Yes,6,70,Apartment,3,2024-03-25
43528,Yes,2,70,Apartment,1,2024-03-26
43548,Yes,4,70,Apartment,2,2024-03-20
43547,Yes,4,70,Apartment,2,2024-04-06
43546,Yes,6,70,Unknown,3,2024-03-25
43545,Yes,3,70,Apartment,1,2024-03-25
43544,Yes,4,70,Apartment,2,2024-03-25
43543,Yes,4,70,Apartment,2,2024-03-25
43542,Yes,6,70,Apartment,3,2024-03-25
43535,Yes,4,70,Apartment,2,2024-03-25
43536,Yes,3,70,Apartment,1,2024-03-20
43538,Yes,6,70,Apartment,3,2024-03-20
43539,Yes,4,70,Apartment,2,2024-03-20
43540,Yes,4,70,Apartment,2,2024-03-26
43541,Yes,3,70,Apartment,1,2024-09-07
43502,Yes,4,51,Apartment,2,2024-05-17
43499,Yes,8,95,Apartment,4,2024-03-26
43498,Yes,6,99,Apartment,3,2024-03-26
43496,Yes,5,68,Apartment,4,2024-04-17
43495,Yes,6,67,Apartment,4,2024-06-07
43493,Yes,4,50,Apartment,2,2024-02-23
43492,Yes,5,67,Apartment,4,2024-05-29
43491,Yes,5,68,Apartment,3,2024-05-29
43487,Yes,5,102,Unknown,3,2024-01-24
43621,Yes,5,64,Apartment,4,2024-09-20
43485,Yes,5,64,Apartment,4,2024-01-24
43486,Yes,5,68,Apartment,3,2024-02-24
43481,Yes,3,45,Unknown,1,2024-01-08
43472,Yes,4,44,Unknown,1,2024-02-23
43470,Yes,4,44,Apartment,1,2024-02-23
43468,Yes,6,84,Unknown,2,2024-02-23
43474,Yes,4,44,Apartment,1,2024-02-23
43461,Yes,4,66,Apartment,2,2024-01-02
43448,Yes,2,38,Apartment,1,2023-10-24
43445,Yes,4,57,Apartment,1,2023-11-03
43553,Yes,5,68,Unknown,3,2024-08-27
43443,Yes,5,68,Apartment,3,2023-10-22
43434,Yes,3,50,Unknown,2,2023-08-08
43432,Yes,5,64,Apartment,4,2023-08-03
43430,Yes,3,40,Apartment,1,2023-06-09
43429,Yes,4,50,Apartment,2,2023-06-07
43428,Yes,4,65,Apartment,2,2023-05-28
43427,Yes,4,50,Apartment,2,2023-06-05
43426,Yes,4,65,Apartment,2,2023-06-05
43425,Yes,10,160,House,5,2023-05-28
43424,Yes,3,70,Apartment,3,2023-05-28
43423,Yes,7,70,Apartment,4,2023-05-28
43422,Yes,5,55,Apartment,2,2023-06-18
43421,Yes,7,90,Apartment,4,2023-05-28
43420,Yes,3,45,Apartment,1,2023-06-12
43418,Yes,10,150,Apartment,4,2023-05-28
43417,Yes,6,60,Apartment,4,2023-05-28
43411,Yes,7,90,Apartment,4,2023-05-28
43412,Yes,8,80,Apartment,3,2023-05-28
43413,Yes,7,90,Apartment,4,2023-05-28
43407,Yes,6,103,Apartment,3,2023-04-05
43404,Yes,5,45,Unknown,2,2023-03-22
43401,Yes,6,100,Apartment,3,2023-04-17
43398,Yes,6,84,Apartment,3,2023-03-19
43395,Yes,6,130,Apartment,3,2023-03-08
43389,Yes,3,28,Unknown,1,2023-02-15
43366,Yes,3,120,Apartment,1,2022-11-28
43367,Yes,4,95,Apartment,2,2023-01-17
43363,Yes,4,60,Apartment,2,2022-11-13
43361,Yes,3,35,Unknown,1,2022-10-10
43349,Yes,8,106,Apartment,4,2022-09-26
43340,Yes,5,72,Apartment,3,2022-07-28
43330,Yes,2,55,Unknown,1,2022-07-04
43324,Yes,4,61,Apartment,2,2022-06-18
43320,Yes,6,103,Apartment,3,2022-06-17
43319,Yes,2,65,Apartment,1,2022-06-07
43318,Yes,2,80,Apartment,1,2022-07-01
43317,Yes,4,100,Apartment,2,2022-06-17
43316,Yes,2,100,Apartment,1,2022-07-01
43314,Yes,6,108,Apartment,3,2022-06-10
43311,Yes,6,85,Apartment,3,2022-06-01
43310,Yes,4,75,Apartment,2,2022-06-02
43308,Yes,4,45,Apartment,1,2022-06-18
43306,Yes,4,54,Apartment,2,2022-06-04
43393,Yes,4,54,Apartment,2,2023-02-12
43305,Yes,4,45,Apartment,3,2022-05-18
43304,Yes,6,57,Unknown,3,2022-05-17
43303,Yes,2,47,Apartment,1,2022-05-16
43302,Yes,5,100,Unknown,3,2022-05-25
43297,Yes,6,62,Apartment,2,2022-05-05
43291,Yes,6,96,Apartment,3,2022-05-27
43288,Yes,4,45,Apartment,1,2022-04-14
43286,Yes,2,40,Unknown,1,2022-05-07
43285,Yes,2,40,Apartment,1,2022-05-15
43284,Yes,2,40,Apartment,1,2022-05-11
43281,Yes,2,40,Apartment,1,2022-03-14
43332,Yes,2,40,Apartment,1,2022-07-12
43333,Yes,2,40,Apartment,1,2022-07-12
43312,Yes,2,40,Apartment,1,2022-06-15
