PropertyId,Property_BookingId,BookingCreatedDate,ArrivalDate,DepartureDate,Adults,Children,Infants,Persons,NumNights,Channel,RoomRate,CleaningFee,Revenue,ADR,TouristTax,TotalPaid,RealProperty,Capacity,Square,PropertyType,NumBedrooms,ReadyDate,NameProperty,Ubication,Rating
,,2024-10-26,2024-11-20,2024-11-21,1,0,0,1,1,Booking.com,182,0,182,182,1,183,Yes,1,,Hotel,1,2024-11-20,Tembo Barcelona,Barcelona,8.8
,,2024-10-26,2024-11-20,2024-11-21,1,0,0,1,1,Booking.com,135,0,135,135,5,140,Yes,1,,Hotel,1,2024-11-20,Vasanta powered by Sonder,Barcelona,8.1
,,2024-10-26,2024-11-20,2024-11-21,1,0,0,1,1,Booking.com,15,0,15,15,6,21,Yes,1,,Hotel,1,2024-11-20,Generator Barcelona,Barcelona,7.7
,,2024-10-26,2024-11-20,2024-11-21,1,0,0,1,1,Booking.com,278,0,278,278,34,312,Yes,1,,Hotel,1,2024-11-20,"Via Sants Hotel Barcelona, Tapestry Collection By Hilton",Barcelona,8.4
,,2024-10-26,2024-11-20,2024-11-21,1,0,0,1,1,Booking.com,17,0,17,17,6,23,Yes,1,,Hotel,1,2024-11-20,St Christopher's Inn Barcelona,Barcelona,7.9
,,2024-10-26,2024-11-20,2024-11-21,1,0,0,1,1,Booking.com,19,0,19,19,6,25,Yes,1,,Hotel,1,2024-11-20,Ten To Go Hostel,Barcelona,8.9
,,2024-10-26,2024-11-20,2024-11-21,1,0,0,1,1,Booking.com,14,0,14,14,6,20,Yes,1,,Hotel,1,2024-11-20,Dream Cube Hostel,Barcelona,7.6
,,2024-10-26,2024-11-20,2024-11-21,1,0,0,1,1,Booking.com,20,0,20,20,6,26,Yes,1,,Hotel,1,2024-11-20,Casa Barcelo Hostel Barcelona,Barcelona,7.8
,,2024-10-26,2024-11-20,2024-11-21,1,0,0,1,1,Booking.com,30,0,30,30,6,36,Yes,1,,Hotel,1,2024-11-20,Yeah Barcelona Hostel,Barcelona,9.0
,,2024-10-26,2024-11-20,2024-11-21,1,0,0,1,1,Booking.com,54,0,54,54,6,60,Yes,1,,Hotel,1,2024-11-20,Hotel Peninsular,Barcelona,6.9
,,2024-10-26,2024-11-20,2024-11-21,1,0,0,1,1,Booking.com,21,0,21,21,6,27,Yes,1,,Hotel,1,2024-11-20,Kabul Party Hostel Barcelona,Barcelona,8.4
,,2024-10-26,2024-11-20,2024-11-21,1,0,0,1,1,Booking.com,70,0,70,70,6,76,Yes,1,,Hotel,1,2024-11-20,Hostal Lausanne,Barcelona,8.3
,,2024-10-26,2024-11-20,2024-11-21,1,0,0,1,1,Booking.com,116,0,116,116,6,122,Yes,1,,Hotel,1,2024-11-20,Magatzem 128,Barcelona,8.8
,,2024-10-26,2024-11-20,2024-11-21,1,0,0,1,1,Booking.com,45,0,45,45,6,51,Yes,1,,Hotel,1,2024-11-20,Pensión Peiró,Barcelona,8.0
,,2024-10-26,2024-11-20,2024-11-21,1,0,0,1,1,Booking.com,108,0,108,108,6,114,Yes,1,,Hotel,1,2024-11-20,Park Hotel,Barcelona,8.4
,,2024-10-26,2024-11-20,2024-11-21,1,0,0,1,1,Booking.com,130,0,130,130,6,136,Yes,1,,Hotel,1,2024-11-20,Ciutat Vella,Barcelona,8.1
,,2024-10-26,2024-11-20,2024-11-21,1,0,0,1,1,Booking.com,106,0,106,106,15,121,Yes,1,,Hotel,1,2024-11-20,Catalunya,Barcelona,8.1
,,2024-10-26,2024-11-20,2024-11-21,1,0,0,1,1,Booking.com,144,0,144,144,6,150,Yes,1,,Hotel,1,2024-11-20,Sunotel Club Central,Barcelona,8.1
,,2024-10-26,2024-11-20,2024-11-21,1,0,0,1,1,Booking.com,25,0,25,25,6,31,Yes,1,,Hotel,1,2024-11-20,Free Hostels Barcelona,Barcelona,8.1
,,2024-10-26,2024-11-20,2024-11-21,1,0,0,1,1,Booking.com,134,0,134,134,6,140,Yes,1,,Hotel,1,2024-11-20,La Ciudadela,Barcelona,8.7
,,2024-10-26,2024-11-20,2024-11-21,1,0,0,1,1,Booking.com,95,0,95,95,6,101,Yes,1,,Hotel,1,2024-11-20,Hotel Via Augusta,Barcelona,8.4
,,2024-10-26,2024-11-20,2024-11-21,1,0,0,1,1,Booking.com,135,0,135,135,6,141,Yes,1,,Hotel,1,2024-11-20,Exe Cristal Palace,Barcelona,7.6
,,2024-10-26,2024-11-20,2024-11-21,1,0,0,1,1,Booking.com,118,0,118,118,6,124,Yes,1,,Hotel,1,2024-11-20,Acta Antibes,Barcelona,8.5
,,2024-10-26,2024-11-20,2024-11-21,1,0,0,1,1,Booking.com,110,0,110,110,6,116,Yes,1,,Hotel,1,2024-11-20,Axel TWO Barcelona 4 Sup - Adults Only,Barcelona,8.3
,,2024-10-26,2024-11-20,2024-11-21,1,0,0,1,1,Booking.com,21,0,21,21,6,27,Yes,1,,Hotel,1,2024-11-20,The Loft Hostel Barcelona La Pedrera,Barcelona,8.2
,,2024-10-26,2024-11-20,2024-11-21,1,0,0,1,1,Booking.com,27,0,27,27,6,33,Yes,1,,Hotel,1,2024-11-20,TOC Hostel Barcelona,Barcelona,8.5
,,2024-10-26,2024-11-20,2024-11-21,1,0,0,1,1,Booking.com,132,0,132,132,18,150,Yes,1,,Hotel,1,2024-11-20,Barcelona Century Hotel,Barcelona,8.4
,,2024-10-26,2024-11-20,2024-11-21,1,0,0,1,1,Booking.com,20,0,20,20,6,26,Yes,1,,Hotel,1,2024-11-20,Diagonal House Hostel,Barcelona,6.9
,,2024-10-26,2024-11-20,2024-11-21,1,0,0,1,1,Booking.com,18,0,18,18,6,24,Yes,1,,Hotel,1,2024-11-20,Urbany Hostel BCN GO!,Barcelona,7.0
,,2024-10-26,2024-11-20,2024-11-21,1,0,0,1,1,Booking.com,19,0,19,19,6,25,Yes,1,,Hotel,1,2024-11-20,Hola Hostal Eixample,Barcelona,8.1
,,2024-10-26,2024-11-20,2024-11-21,1,0,0,1,1,Booking.com,80,0,80,80,6,86,Yes,1,,Hotel,1,2024-11-20,Hostal Paris,Barcelona,7.5
,,2024-10-26,2024-11-20,2024-11-21,1,0,0,1,1,Booking.com,16,0,16,16,6,22,Yes,1,,Hotel,1,2024-11-20,Mellow Barcelona,Barcelona,6.0
,,2024-10-26,2024-11-20,2024-11-21,1,0,0,1,1,Booking.com,16,0,16,16,6,22,Yes,1,,Hotel,1,2024-11-20,Safestay Barcelona Gothic,Barcelona,7.5
,,2024-10-26,2024-11-20,2024-11-21,1,0,0,1,1,Booking.com,65,0,65,65,6,71,Yes,1,,Hotel,1,2024-11-20,Hostal Nuevo Colon,Barcelona,7.5
,,2024-10-26,2024-11-20,2024-11-21,1,0,0,1,1,Booking.com,160,0,160,160,6,166,Yes,1,,Hotel,1,2024-11-20,Catalonia Diagonal Centro,Barcelona,8.5
,,2024-10-26,2024-11-20,2024-11-21,1,0,0,1,1,Booking.com,159,0,159,159,6,165,Yes,1,,Hotel,1,2024-11-20,Hotel Lleó,Barcelona,8.2
,,2024-10-26,2024-11-20,2024-11-21,1,0,0,1,1,Booking.com,131,0,131,131,6,137,Yes,1,,Hotel,1,2024-11-20,Hotel Nouvel,Barcelona,8.1
,,2024-10-26,2024-11-20,2024-11-21,1,0,0,1,1,Booking.com,25,0,25,25,6,31,Yes,1,,Hotel,1,2024-11-20,360 Hostel Borne,Barcelona,8.3
,,2024-10-26,2024-11-20,2024-11-21,1,0,0,1,1,Booking.com,110,0,110,110,6,116,Yes,1,,Hotel,1,2024-11-20,Catalonia Sagrada Familia,Barcelona,8.2
,,2024-10-26,2024-11-20,2024-11-21,1,0,0,1,1,Booking.com,320,0,320,320,38,358,Yes,1,,Hotel,1,2024-11-20,AC Hotel Diagonal L'Illa by Marriott,Barcelona,8.7
